title;prize;ratings;stars;publish_date;authors
Desarrollo Seguro de Aplicaciones Web: 2a Edicion;0,00;0;NA;1 marzo 2017;Ariel Ayala Montes
Marketing digital para empresas del sector turistico;2,99;0;NA;30 octubre 2013;Juanjo Ramos
WordPress: Introduccion al Desarrollo de Plugins;0,00;0;NA;15 marzo 2017;marc corbal
La Sociedad Omega;0,99;0;NA;11 febrero 2017;Jose Gallego Banos
CiberAdiccion: Cuando la adiccion se consume a traves de Internet (CiberPsicologia no 3);0,99;0;NA;8 noviembre 2017;de la Serna, Dr. Juan Moises
MANUAL DE LAS FUNCIONES FINANCIERAS DE EXCEL;0,00;0;NA;12 octubre 2016;CARLOS ALIAGA VALDEZ
Macros en Excel 2013: Escritura de sentencias con VBA (Coleccion Macros en Excel 2013);3,15;1;5;17 mayo 2013;Viviana Zanini y RedUSERS USERSHOP
Modelo para el gobierno de las TIC basado en las normas ISO;11,39;1;4;9 octubre 2012;Carlos Manuel Fernandez Sanchez y Mario Piattini Velthuis
Aprendizaje en profundidad con Keras: Introduccion al aprendizaje en profundidad con Keras;2,99;1;1;26 julio 2017;JORGE MENDES
Como mejorar tu tienda online (87 consejos para crear o/y optimizar tu ecommerce);2,99;8;4;25 octubre 2012;Luis Clausin y Mikel Gonzalez
Implantar SCRUM con exito;7,59;1;5;15 abril 2017;Josep Lluis Monte Galiano
Comunidades Virtuales y Redes Sociales;0,00;8;4,8;2 septiembre 2012;Jose Antonio Gallego Vazquez y Idoia Asensio
Como los piratas informaticos penetran en su Facebook y su red, y como protegerse: Su cuenta social, sus computadoras y su sitio web funcionan las 24 horas del dia. Protege tus activos digitales.;0,00;0;NA;7 diciembre 2017;Udi Levin
Como crear y monetizar un blog en Wordpress: Para no informaticos;0,00;1;5;2 marzo 2015;Jesus Sordo Medina
Data Marts y  Modelos Dimensionales: Un pilar fundamental para la toma de decisiones (Analiza tu Negocio con Excel y Power BI no 2);2,99;0;NA;10 agosto 2016;Salvador Ramos
"Apple TV: Una Alternativa Para Refugiados de la Television por Cable: Con consejos sobre ""Uso compartido en casa"", la compra de contenido desde iTunes, aplicaciones gratuitas y mas (tecnologia)";0,00;0;NA;21 febrero 2013;Jason Cipriani
Redes de Datos. El Mas Completo Tratado de Redes de Datos Escrito en Espanol !!!: ?Que Son las Redes de Datos y Para Que Sirven? Modelos de Referencia, Protocolos,  Interfaces, Servicios, Tecnologias;0,00;1;1;12 noviembre 2014;Ifalaye Books
Curso de Supervivencia de Programacion COBOL: 7 Lecciones Para Aprender A Programar COBOL (Aprendiendo a programar no 1);0,00;0;NA;14 noviembre 2017;Adrian Ortiga Martin
Como joder a un espia: Guia rapida para proteger llamadas, datos personales y comunicaciones en internet;0,00;0;NA;12 julio 2015;Victor Hernandez
APRENDER PREMIERE PRO CS5.5 CON 100 EJERCICIOS PRACTICOS (APRENDER...CON 100 EJERCICIOS PRACTICOS);9,39;1;2;12 marzo 2013;MEDIAactive
Flappy Bird: Crea un videojuego en una hora;0,00;0;NA;13 abril 2016;Juan Gabriel Gomila Salas y Juan Gabriel Gomila Salas
1: Mi Primer Perceptron con C: Analizado y Explicado con Sentido Practico (Serie Tutorial:  Programando Redes Neuronales Artificiales Paso a Paso con C);0,00;0;NA;29 diciembre 2016;Eric Joel Barragan Gonzalez
Inteligencia artificial avanzada (Manuales);9,49;1;5;6 octubre 2014;Raul Benitez Iglesias y Gerard Escudero Bakx
Tutoriales GNU/Linux: Hacking para principiantes. Segunda edicion;4,99;0;NA;16 enero 2017;Marcelo Horacio Fortino
MetodologIa de la programacion aplicada a JAVASCRIPT: Manual para comenzar a programar utilizando JavaScript;0,00;0;NA;2 noviembre 2015;John Smith
miniGuia: introduccion a la plataforma Moodle: para principiantes;0,99;0;NA;2 diciembre 2015;CARLOS R.
Revit: Plantillas de familias 2D;0,00;0;NA;29 septiembre 2015;Luis Martinez Ramirez
Aprendre Excel 2010 amb 100 exercicis practics;3,79;0;NA;1 octubre 2012;MEDIAactive
LA LLAVE DEL EXITO: Marketing para escritores;0,00;23;3,7;13 enero 2014;Armando Rodera y Arantza Soto
Guerreros Agiles. Gestion de equipos SCRUM;0,00;2;5;16 diciembre 2015;Fernando Llopis
Manejo de Crisis en Medios Sociales;0,00;1;4;22 diciembre 2013;Jose Luis Moreno Jimenez
ECONOMETRIA a traves de ejemplos MODELOS NO LINEALES y MODELOS DE REDES NEURONALES;0,00;0;NA;27 junio 2017;CESAR PEREZ LOPEZ
Introduccion a MuseScore 1.3;1,04;1;4;28 noviembre 2012;Angel Candelaria
TRUCOS DE INFORMATICA, accesos directos y regalos,   y dinero computadora ideas para ahorrar para el usuario principiante.;0,00;0;NA;20 febrero 2013;Sam Yulish
abbann: Un nuevo modelo de redes neuronales;0,00;10;4;14 octubre 2016;Jose Felix Garcia de la Torre Corral
Logica de Programacion e Ingenieria del Software: 2a Edicion;0,00;0;NA;16 noviembre 2015;Andres Serbat Ocana
Macros en Excel 2013: El editor de Visual Basic para Excel (Coleccion Macros en Excel 2013);3,15;0;NA;13 abril 2014;Viviana Zanini y RedUSERS USERSHOP
Fundamentos del E-Commerce: Tu guia de comercio electronico y negocios online;4,18;1;5;5 marzo 2014;Alexandre Fonseca
AS400 Guia Express de Datos (AS400 Guias Express no 1);5,44;0;NA;23 agosto 2012;Gustavo Pavia
Dominando TWITTER: Aprende los secretos de los mas exitosos usuarios de Twitter para que puedas seguir sus pasos;0,00;8;3,8;27 abril 2017;Justo Serrano y Cesar Miro
Evaluacion de Vulnerabilidades TIC;1,04;2;2,5;1 diciembre 2014;Javier Medina
VBA Excel: Guia Esencial;8,19;0;NA;17 octubre 2016;Luis Brito
Organiza tu vida digital con Evernote (Productividad digital);2,99;1;1;22 febrero 2015;Javier Cristobal
Herramientas de Scrum: (obligatorias y Opcionales);0,00;0;NA;19 octubre 2014;Angel Gabriel Olivo Diaz
Muckraker 02 (pack);8,54;0;NA;13 marzo 2015;Lucia Lijtmaer y Eudald Espluga
Curso de Word 2013;8,03;1;2;27 septiembre 2013;Cristina Ausina
Las Redes Sociales para Empresas y Emprendedores: 2a Edicion;0,00;0;NA;19 febrero 2016;Cristina Sandoval Vera
Ebook: Realidad virtual (Innovation Trends Series);0,00;4;4,5;21 septiembre 2015;BBVA Innovation Center y BBVA Innovation Center
Curso de PowerPoint 2010;7,26;0;NA;21 enero 2013;Cristina  Ausina Victor y aulaclic s.l.
Cypherpunks: La libertad y el futuro de internet;9,49;3;4,6;11 abril 2013;Julian Assange y Maria Maestro
Yo tambien la lie parda en internet: Las meteduras de pata mas curiosas en las redes sociales y los errores que dieron la vuelta al mundo...;9,49;7;4,1;11 enero 2017;Manuel Moreno Molina
SOPLA EL CARTUCHO: CURIOSIDADES DE LOS VIDEOJUEGOS: Edicion de muestra;0,00;1;5;17 noviembre 2014;Sergio Llorens y Julian Llorens
Microsoft Office 2016: Guia practica con todo lo nuevo de la ultima version.;12,41;0;NA;22 junio 2016;Claudio Pena y RedUSERS USERSHOP
Algoritmos Evolutivos: teoria y casos practicos: Lourdes Araujo, Carlos Cervigon;0,00;1;5;13 febrero 2016;Lourdes Araujo y Carlos Cervigon
COMO CREAR UNA PAGINA WEB O BLOG: con WordPress, sin Codigo, en su propio dominio, en menos de 2 horas! (THE MAKE MONEY FROM HOME LIONS CLUB);0,00;7;3,2;18 diciembre 2013;Mike Omar
SketchUp Pro 2013 paso a paso en espanol;13,99;3;2,7;1 septiembre 2017;Joao Gaspar
Formulas de datos de hoja de calculo de Microsoft Excel;2,99;1;2;4 diciembre 2012;Kenny L Keys
Macros en Excel 2013: Introduccion a la automatizacion (Coleccion Macros en Excel 2013);0,00;2;2,9;17 mayo 2013;Viviana Zanini y RedUSERS USERSHOP
Fe Ciega en Tu Marca: ?Y si Supieras Como Vender Mas sin Conseguir Mas Clientes?;0,00;3;4,6;8 enero 2018;Jorge Gil
Serious games. Diseno de videojuegos con una agenda educativa y social (Manuales);6,64;1;4;20 julio 2015;Joan Morales i Moras
Evolucion de las startups en el mundo del libro: Actualizacion 2017;0,00;1;2;20 mayo 2017;Javier Celaya y Kershama St. Luce
El manual del Administrador de Debian: Debian Jessie desde el descubrimiento a la maestria;8,49;1;1;18 abril 2016;Raphael Hertzog y Roland Mas
Aprender Access 2010 con 100 ejercicios practicos (Aprender... con 100 ejercicios practicos);7,59;2;2,5;25 enero 2011;MEDIAactive
El Desarrollo de Proyectos de Software;0,00;0;NA;8 julio 2015;Enrique Marin Gonzalez
Ciberdiccionario: Conceptos de ciberseguridad en lenguaje entendible;3,79;4;4,3;8 marzo 2015;Javier Zubieta
Esports - Deportes Electronicos;0,00;2;2,8;11 diciembre 2012;Antonio Fernandez Guillen
Dominando YOUTUBE ADS: Descubre Los Secretos De YouTube ADS Para Una Publicidad Efectiva;0,00;4;5;11 marzo 2017;Justo Serrano y Cesar Miro
Trucos para el terminal de Mac;0,49;0;NA;3 julio 2013;Gerardo Fernandez Perez
Como Crear Una Pagina Web o Blog EN 5 MINUTOS: (Guia Paso a Paso) No se requiere Experiencia !Incluye 2 Regalos con Valor de mas de $20! (Como hacer una pagina web o blog y ganar dinero online no 1);0,00;0;NA;18 diciembre 2015;Raul Manuel
"Programe en Visual Basic 2010  ""Facil y rapido""";0,00;2;2;20 septiembre 2014;Luis Ayala Ponce y Yessy Arriaga
Aplicaciones informaticas de Bases de datos relacionales. UF0322. Access 2013;8,80;1;4;14 octubre 2015;Juan Manuel Diaz Salvo
InterNet e InterSer: Las aventuras de una humanidad cada dia mas enredada;5,90;3;5;28 septiembre 2014;Ignacio Gallego de Lerma Rojo
Lightroom;5,84;3;2,3;8 enero 2016;Juan Miguel Cebrian Carrasco
Softwarearen Garapen Industriala - Ariketak (SGI Book 1) (Basque Edition);0,00;0;NA;28 mayo 2017;Arantza Irastorza Goni y Tomas A Perez Fernandez
Ingenieria del Software: Gestion Personal para el exito;0,00;1;5;19 noviembre 2017;Jacinto Fung Leon
Amazon Kindle - Guia detallada. Trucos, modo de empleo, funcionalidades ocultas;0,00;7;3,4;16 diciembre 2011;Daniel Trautmann
VBA Excel: Modelo de Objetos;4,55;0;NA;20 octubre 2016;Luis Brito
La Guia Introductoria Del Franquiciador: (breve guia para decidir si merece la pena franquiciar tu negocio);0,00;0;NA;9 mayo 2017;Rodolfo Adinolfi Morientes
VB.NET. REALICE APLICACIONES DESDE CERO. PARTE I: Nivel inicial y medio;1,26;0;NA;26 noviembre 2017;Jose Luis Esquifino Parras
Youtube;6,64;1;1;9 diciembre 2013;Blai Marse
En_linea. Leer y escribir en la red (Argumentos Anagrama);13,29;1;5;13 septiembre 2012;Daniel Cassany y Daniel Cassany Comas
Diseno de juegos 3D para web - Libro 01: THREE.JS - HTML5 y WEBGL;0,00;6;4,8;11 noviembre 2016;Jordi Josa
Aprende a Programar iPhone. Introduccion a Objective-C y XCode con Ejemplos;0,00;1;1;1 mayo 2013;Aaron Rojo Bedford
Bitcoin: Introduccion simple;2,52;0;NA;5 agosto 2017;Eric Morse y Esteban Lanza Ortega
Marca Personal: Crea tu Perfil Profesional Online en 30 dias (Serie Freelance 4.0 no 1);0,00;1;5;1 enero 2018;Jesus Barranco Reyes
Preparacion de archivos para la impresion digital;8,27;0;NA;23 julio 2012;Maria Asuncion Borrego Jimenez
Unidades de Disco Duro;0,00;0;NA;11 noviembre 2017;Trever Stears
Triunfa con tu blog: Como escribir un blog de exito;2,80;1;2;18 enero 2015;Jose Vicente Leon y Rebeca Capella
Fundamentos de Programacion con C#;0,00;0;NA;15 marzo 2015;Andres Serbat Ocana
Manual de Excel 2010 (Manuales);7,59;0;NA;10 julio 2010;MEDIAactive
Desarrollo Industrial de Software: Ejercicios 2017 (DIS);0,00;0;NA;28 mayo 2017;Tomas A Perez Fernandez y Arantza Irastorza Goni
VBA Excel: Modelo de Objetos;4,55;0;NA;20 octubre 2016;Luis Brito
Manual de outsourcing informatico: 1;14,88;2;2,4;28 marzo 2014;Emilio del Peso Navarro
Descubre Como Puedes Ser Una Super Estrella: Claves Fundamentales Para Usar Las Redes Sociales;0,00;10;5;27 julio 2017;IONELA HRELEA
Marketing online para musicos: Crea tu estrategia mas efectiva en internet;2,99;0;NA;8 junio 2015;Jose Vicente Leon y Rebeca Capella
Posicionamiento web para todos: El manual sobre SEO para aprender como aparecer en las primeras posiciones de los buscadores;0,00;11;4,9;18 septiembre 2017;Rodrigo Tovar y Diego Tovar
Auditoria de seguridad informatica. IFCT0109;12,17;2;1,5;5 junio 2015;Ester Chicano Tejada
El survey feedback como estrategia de mejora continua (Guias Tecnicas (sintesis));12,44;0;NA;11 enero 2013;Gracia Grau, Esther/Grau Gumbau, Rosa
Javascript. Aprende Javascript Facilmente: 2a Edicion;0,00;0;NA;11 octubre 2015;Patricia Gonzalez R.
La comunicacion digital;14,24;0;NA;1 mayo 2012;Llorca Abad,German y Iglesias Garcia,Mar
La Historia de los Videojuegos: Un breve recorrido;0,00;0;NA;4 mayo 2017;Rolando Fernandez Benavidez
Desarrollo Web con Symfony: 2a Edicion;0,00;0;NA;2 marzo 2017;Andres Montes Garcia
Hazte Guru de Base de Datos: SQL - Diseno y Normalizacion - PL/SQL - ORACLE-LINUX (WIE no 448);0,00;2;5;23 octubre 2017;Leonardo Ponte Cordero y Widmills Editions
Programacion Java. Tecnologia Java en la Web;0,00;0;NA;27 marzo 2017;Arias, Angel y IT Campus Academy
MANIFIESTO BITCOIN;0,00;1;5;1 noviembre 2013;Satoshi Nakamoto y Oliver Tad
Fraudes y Enganos en Internet. Mejor Conocerlos que Caer en Ellos: 2a Edicion;0,00;0;NA;8 septiembre 2015;Aaron Rojo Bedford
Programacion Java para Principiantes;0,00;0;NA;4 marzo 2017;Arias, Angel
Programacion con Java;0,00;0;NA;5 marzo 2017;Arias, Angel
Cloud Computing. El Futuro de la Nube: 2a Edicion;0,00;1;1;16 noviembre 2015;Andres Serbat Ocana
Cloud Computing. El Futuro en la Nube;0,00;1;4;22 febrero 2014;Andres Serbat Ocana
Introduccion a la computacion;2,99;1;1;4 abril 2016;Gabriel Duperut
El Freelancer Sabelotodo: El Cazador;0,00;0;NA;18 mayo 2017;Carlos Osorio y frankrodoficial frankrodoficial
El Freelancer Sabelotodo: El conductor;0,00;0;NA;18 mayo 2017;Carlos Osorio y frankrodoficial frankrodoficial
SharePoint Facil: Guia de configuracion para ambiente de desarrollo SharePoint 2013;0,00;1;5;4 febrero 2016;Adrian Alejandro Barrera Lopez y Karenn Michel Cajero Sanchez
Detras del mostrador. Todo lo que debes saber para tener una tienda online;0,00;24;4,5;30 abril 2014;Marina Sala
La Sociedad de la Informacion en Espana 2014;0,00;2;4;14 enero 2015;Fundacion Telefonica
El Freelancer Sabelotodo: El Artesano;0,00;0;NA;18 mayo 2017;Carlos Osorio y frankrodoficial frankrodoficial
El Freelancer Sabelotodo: El Sabio;0,00;0;NA;18 mayo 2017;Carlos Osorio y frankrodoficial frankrodoficial
Como escribir tu libro: !con los secretos de los mas grandes autores de todos los tiempos! (Serie Publica tu libro en Amazon no 1);0,00;2;3;26 noviembre 2013;Pinto, Alvaro Parra
Yo y Wordpress: : Manual basico para principiantes;3,49;0;NA;17 mayo 2015;Pawel Jerzy Drozd
Ebook: Social Media Banking (Fintech Series);0,00;1;5;21 septiembre 2015;BBVA Innovation Center y BBVA Innovation Center
Clickeando: Descubre las mejores webs y herramientas de internet;0,00;1;5;14 julio 2015;Aquilino Gonzalez y Ernesto Verdugo
Alto Valor: Descubre Como Vender productos o Servicios de Alto Valor;0,00;9;4,4;27 julio 2017;Carlos Garcia
El Freelancer Sabelotodo: El Vigilante y el Vocero;0,00;0;NA;18 mayo 2017;Carlos Osorio y frankrodoficial frankrodoficial
Gestion de contenidos (EL PROFESIONAL DE LA INFORMACION);6,64;2;2,9;25 febrero 2014;Ricardo Eito-Brun
HTML en 24 Horas: 2a Edicion;0,00;1;3;13 abril 2016;R, Patricia Gonzalez
La tradumatica;0,00;0;NA;15 noviembre 2015;Nadia De Giovanni
Facebook para Dummies;2,84;2;3,5;3 abril 2012;Eva Sanagustin y Cristina Aced
Fundamentos de Programacion;0,00;2;1,9;29 enero 2014;R, Patricia Gonzalez
Como triunfar en las redes sociales: Consejos practicos y tecnicas para conseguir todo lo que te propongas en Internet y sacarle mas partido a tus redes ... Facebook, Twitter, Instagram, LinkedIn;9,49;3;3,6;12 mayo 2015;Manuel Moreno Molina
Curso Completo HTML5;0,00;0;NA;15 marzo 2017;marc corbal
Solitario: Esta no es una historia de amor...;2,84;0;NA;28 abril 2015;Alice Oseman
Branding (TIC.CERO);6,64;2;3;12 noviembre 2012;Javier Velilla Gil
Como crear tu audiolibro (Herramientas para autores no 2);6,00;0;NA;9 septiembre 2017;Olivier Rebiere y Cristina Rebiere
Crear tu primer ebook profesional con Sigil;0,00;0;NA;2 julio 2016;Lucas Fuentes
Como Conseguir Miles de Seguidores en Instagram: El metodo paso a paso para aumentar tus ventas, obtener miles de clientes nuevos y hacer famosa tu marca;36,45;1;1;29 diciembre 2016;Elvis D Beuses
Payoneer: Servicios de Pagos: Tenga una cuenta bancaria en los Estados Unidos para recibir sus pagos de Amazon;0,00;1;5;22 julio 2015;Fred Borges
Nuevo Kindle Fire HD Manual (Kindle Fire HD 8 y 10): La  guia del usuario completa con instrucciones de  inicio basico para avanzar en usuario (diciembre de 2017);2,99;0;NA;29 diciembre 2017;Pedro Gutierrez
Manual de Illustrator CS6;9,49;0;NA;1 abril 2013;MEDIAactive
7 habitos inteligentes de personas que se hicieron millonarias: Secretos infalibles para lograr tu libertad financiera.  Impulsa tu educacion financiera y tus finanzas personales.;0,00;0;NA;1 noviembre 2017;Gustavo Adolfo Avila
Como Escribir Articulos | LA FORMULA PARA LLEGAR A LAS PRIMERAS PAGINAS DE LOS MOTORES DE BUSQUEDA!;0,00;0;NA;13 noviembre 2017;Alberto Perez Bravo
Mil y un frases para utilizar en las redes sociales: Algunas frases no estan hechas para leerse con el ojo comun sino con los ojos del corazon.;0,00;0;NA;31 marzo 2017;eduardo ladron de guevara islas
Analisis economico y financiero con Microsoft Excel 2013: Planifique, gestione y evalue proyectos;8,06;2;3;4 agosto 2015;Lucas Padin y RedUSERS USERSHOP
Mis Hijos en las Redes Sociales;0,00;0;NA;22 enero 2018;Nephtalie Voltaire
Manual Alfresco;1,45;1;1;5 septiembre 2012;Francsico Bonillo
Wi-Fi Lo que se necesita conocer;3,99;1;5;13 febrero 2012;Jose Antonio Carballar
Aprender Illustrator CS6 con 100 ejercicios practicos;7,59;2;3;3 marzo 2013;MEDIAactive
Marketing en redes sociales (Social Media);11,39;5;2,5;6 abril 2017;Human Level Communications
?Por que los videojuegos pueden mejorar tu vida y cambiar el mundo?: Un encuentro entre el mundo virtual y el real en el que las personas salen favorecidas (Ciencia que ladra... serie Mayor);8,54;0;NA;1 agosto 2015;Jane McGonigal y Hugo Salas
Iniciacion al uso del ordenador e Internet con software libre: Para ninas y ninos.;0,00;0;NA;1 junio 2008;Juan Julian Merelo Guervos
Ya tienes tu Apple Watch, ?y ahora que?: La guia de uso del Apple Watch mas completa;0,87;4;3,4;26 junio 2015;Eduardo Archanco
EVERNOTE EN ESPANOL;2,99;0;NA;11 agosto 2017;DE ALFONSO, MIGUEL ANGEL
Crear un blog con Wordpress: La guia definitiva para la creacion de webs profesionales con Wordpress (Marketing Online no 3);0,00;17;4;2 diciembre 2013;Jose Noguera
ALM con Visual Studio 2012 y Team Foundation Service;0,00;6;4,5;31 marzo 2013;Bruno Capuano y Eduardo Del Pozo
Ejercicios resueltos tipo test - Redes (Fichas de informatica);6,04;0;NA;17 julio 2012;Rocio Navarro Lacoba
Programacion en Java. Uso de Spring Framework;0,00;0;NA;15 junio 2015;Alex Rodriguez Vidal
Programacion en Matlab;0,00;1;4;29 octubre 2014;Miguel Rande Garcia
Aprender Adobe After Effects CS5.5 con 100 ejercicios practicos (Aprender... con 100 ejercicios practicos);7,59;2;3;30 enero 2012;MEDIAactive
Aprender Adobe After Effects CS5.5 con 100 ejercicios practicos (Aprender... con 100 ejercicios practicos);7,59;2;3;30 enero 2012;MEDIAactive
Arquitectura del Software;0,00;0;NA;1 abril 2017;DURANGO, Angel Arias | ALICIA y Alicia Durango
Ejercicios resueltos de REDES (Fichas de informatica);3,62;0;NA;20 julio 2012;Rocio Navarro Lacoba
Marketing en YouTube para Negocios y Empresas;0,00;0;NA;21 noviembre 2015;Moreno Jimenez, Jose Luis
Word 2013;5,70;0;NA;19 octubre 2016;Pedro Montes Vitales
Diseno y narrativa transmedia: Teoria y practica (Diseno de juegos en America latina no 2);0,00;1;5;5 julio 2016;Durgan A. Nallar
Aprender las Mejores Aplicaciones para Android con 100 Ejercicios Practicos;7,59;1;5;1 mayo 2012;MEDIAactive
Reparaciones caseras;2,44;0;NA;25 abril 2016;Francesco Poggi
Blog Story / Un relato de La Comunidad;0,00;4;4,7;16 febrero 2012;Rafael R. Costa
Discos duros: Conozca en profundidad las claves del dispositivo de almacenamiento mas relevante;8,06;1;5;1 noviembre 2014;Javier Richarte y RedUSERS USERSHOP
El Libro del Growth Hacking en Espanol;0,00;2;4;5 abril 2017;Jose Luis Gomez-Pardo Gayete
Como encontrar ideas rentables para escribir libros de no ficcion: Ganar dinero extra con ebooks;0,00;8;3,2;3 marzo 2014;Luis Clausin y Mikel Gonzalez
Modo esponja: Como absorber con creatividad el impacto del cambio acelerado. El viaje del aprendizaje permanente;7,59;0;NA;1 junio 2017;Sebastian Campanario
La proteccion juridica de los derechos de autor de los creadores de videojuegos. 'Statu quo' perspectivas y desafios (Arte y Derecho);9,49;2;5;27 julio 2013;Francisco Javier Donaire Villa y Antonio Jose  Planells de la Maza
INTRODUCCION A LA REPARACION Y MANTENIMIENTO DE ORDENADORES;0,00;1;5;31 mayo 2017;Junior G. Martes
Manual de diseno generativo;11,39;0;NA;29 octubre 2017;Umberto Roncoroni Osio
Como dominar Microsoft OneNote 2013 : Los 10 mejores accesos y secretos de OneNote para principiantes;2,68;0;NA;18 agosto 2016;The Blokehead y Lilia Madrigal Leon
Facebook como Fuente de Riqueza: Descubre Como Usar Facebook para Aumentar las Ventas de tu Negocio Online.;0,00;8;5;27 julio 2017;Wilfredo Zajachkiskij y Maria Fernandez
Introduccion a la Logica Matematica;0,00;0;NA;12 enero 2017;Rogerio Miguel Coelho y Federico Ithurbide
Guia para el nuevo Youtuber 2015: Como empezar con buen pie en Youtube;0,00;10;3,4;10 mayo 2015;Mateu Mercer Cerda y Andreu Cladera
La ciudad autosuficiente (ACTUALIDAD);5,69;1;5;17 febrero 2016;Vicente Guallart
Email marketing. Guia practica: Desata el poder de las listas de correo y los boletines electronicos;2,99;1;5;16 enero 2013;Juanjo Ramos
Aplicaciones informaticas de analisis contable y presupuestos. ADGN0108;5,36;0;NA;4 julio 2013;Meritxell Mateo Pacheco
Constructor de Listas : Descubre Como Crear Lista de Suscriptores Infinitas;0,00;5;5;27 julio 2017;Yaz Franco
Manual de Supervivencia del Programador de Sistemas;0,00;0;NA;6 agosto 2010;C, Sebastian
Instagram para empresas;2,37;0;NA;18 abril 2013;Juanjo Ramos
Publica tus libros por internet de manera profesional con software gratuito;0,99;0;NA;26 agosto 2015;Alberto Garcia Briz
iCloud, para tener siempre la nube a mano: Todo lo que necesitas saber sobre el servicio iCloud de Apple para iPhone, iPad, iPod touch y Mac;2,99;0;NA;5 abril 2014;Fernando Garcia
Internet Ahora: La red y sus peligros;4,50;0;NA;15 mayo 2017;Francisco Andrades Galindo
Como construir documentos XML: DTD y Esquema XML;7,25;0;NA;15 mayo 2014;Juan Jesus Tortajada Cordero
Dinero virtual: Relatos de Internet I;0,00;2;4,5;4 agosto 2016;Victor Sarsal Izquierdo y Pau Mora Peralta
Como los propietarios de pequenos negocios pueden llegar a la parte superior de los  Resultados de la busqueda de Google: 20 Maneras Faciles que usted ... mejorar su presencia en la web y estar en e;0,00;1;1;5 febrero 2016;Sebastian Merz
ANDROID: PROGRAMACION DE DISPOSITIVOS MOVILES A TRAVES DE EJEMPLOS;8,71;1;5;24 marzo 2014;Jose Enrique Amaro Soriano
Guia Basica de Wordpress para crear tu web desde cero;0,00;3;3;23 diciembre 2015;Luis Alberto Rubio
Preparacion de proyectos de diseno grafico. ARGG0110;8,27;1;4;19 enero 2016;Marie Quilly
Como Ganar Mucho Dinero Rapido Con Twitter: Ideas Para Hacer Tus Negocios Rentables o Impulsar Tu Trabajo Desde Casa Por Internet;0,00;6;4,5;15 abril 2017;Gustavo Adolfo Avila
LabVIEW: Entorno grafico de programacion;9,49;1;3;1 julio 2012;Jose Rafael Lajara Vizcaino y Jose Pelegri Sebastia
APRENDER POWERPOINT 2010 CON 100 EJERCICIOS PRACTICOS (APRENDER...CON 100 EJERCICIOS PRACTICOS);7,59;0;NA;26 diciembre 2012;MEDIAactive
Descubre VoIP: Domina los secretos y ventajas que ofrece la tecnologia voz sobre Internet para tus comunicaciones;0,00;1;4;NA;
Teoria d'automats i llenguatges formals;5,53;0;NA;1 enero 2015;Francesc J. Ferri
La Naturaleza del Software;0,00;25;4,6;14 enero 2014;Eduardo Diaz
Curso de Android (Spanish Edition) (Guias Maestros del Web);2,54;3;2,3;21 junio 2011;Stephanie Falla y Adrian Catalan
Reparacion y ampliacion de equipos y componentes hardware microinformaticos. IFCT0309;12,17;0;NA;17 octubre 2013;Cristina Montoya Castillo
Los lenguajes de programacion c, c++, epi, java, javascript y php;0,00;0;NA;8 julio 2014;Emilio Aguilar Gutierrez
Ciberseguridad para la i-generacion: Usos y riesgos de las redes sociales y sus aplicaciones (Educacion Hoy no 206);15,19;0;NA;18 abril 2017;Nikki Giant
Arte final multimedia y e-book. ARGG0110;5,36;0;NA;19 enero 2016;Juan Luis Perles Garcia
Redes de Datos Comunes de la Administracion Publica Espanola (Cuadernos TIC no 1);5,31;0;NA;28 marzo 2013;Borja Lopez Montilla
Los 7 Tonos de Forex: MI EXPERIENCIA;0,00;0;NA;11 diciembre 2017;Alex Gorbunov
Inteligencia artificial;0,00;0;NA;11 agosto 2016;Luis Espino
10 trucos SEO para tu blog: Los secretos que cambiaran la vida de tu blog;1,00;0;NA;23 julio 2016;Borja Giron
DROPSHIPPING: Aprende Hacer Dropshipping De Una Forma Profesional;0,00;8;3,9;29 julio 2017;Lisbeth Delgado
Reparacion de impresoras. IFCT0309;8,27;1;5;17 octubre 2013;Jesus Beas Arco
La Guia Basica de Joomla 2.5. Contruye y Administra tu propio Website;0,00;2;1,5;20 marzo 2013;Aaron Rojo Bedford
Planificacion y Control de Proyectos Usando Oracle Primavera P6 Versiones 8.1, 8.2 & 8.3 - Cliente Profesional & Cliente Opcional;25,99;2;4,5;2 septiembre 2013;Paul E Harris
Marketing Movil (Como implementar estrategias de mobile marketing en tu negocio no 1);1,14;0;NA;21 noviembre 2012;NW Marketing
Ingenieria del Software;0,00;0;NA;30 marzo 2017;Angel Arias y Alicia Durango
PCI DSS, Breve Guia para el Cumplimiento;0,00;1;5;26 junio 2017;Dante Ferrini Fonseca
El nuevo paraiso de los tontos;5,87;5;3,7;27 febrero 2012;Hernan Casciari y Orsai
Dimensionar, instalar y optimizar el hardware. IFCT0510;8,27;0;NA;6 noviembre 2015;Antonio Luis Cardador Cabello
Practicas de Sistemas Operativos;0,00;0;NA;1 junio 2017;Felix Garcia-Carballeira y Jesus Carretero
Amenazas Persistentes Avanzadas (Manuales tecnicos);7,60;1;5;27 noviembre 2016;Antonio Villalon Huerta
Aprender Photoshop CS6 con 100 ejercicios practicos;7,59;3;3,6;1 enero 2013;MEDIAactive
Copias de seguridad en WordPress: Guarda, transfiere y clona tu web sin sorpresas ni errores;0,00;0;NA;26 marzo 2016;Enrique J. Ros
